Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
001A;Montesinos, Los y Algorfa;001A;Montesinos, Los y Algorfa;4.574
001A;Montesinos, Los y Algorfa;002A;Formentera del Segura y otros municipios;38
001A;Montesinos, Los y Algorfa;023A;Almoradí;94
001A;Montesinos, Los y Algorfa;041A;Guardamar del Segura;125
001A;Montesinos, Los y Algorfa;058A;Rojales;174
001A;Montesinos, Los y Algorfa;061A;San Miguel de Salinas;76
001A;Montesinos, Los y Algorfa;091A;Orihuela (distrito 05);169
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);343
001A;Montesinos, Los y Algorfa;098A;Torrevieja (distrito 02);225
001A;Montesinos, Los y Algorfa;099A;Torrevieja (distrito 03);172
001A;Montesinos, Los y Algorfa;OTRO;OTROS DESTINOS;468
001B;Sant Joan de Vilatorrada y otros municipios;001B;Sant Joan de Vilatorrada y otros municipios;8.182
001B;Sant Joan de Vilatorrada y otros municipios;008B;Sant Vicenç de Castellet y otros municipios;40
001B;Sant Joan de Vilatorrada y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;50
001B;Sant Joan de Vilatorrada y otros municipios;032B;Taradell y otros municipios;48
001B;Sant Joan de Vilatorrada y otros municipios;044B;Cardona y Sant Mateu de Bages;41
001B;Sant Joan de Vilatorrada y otros municipios;045B;Balsareny y Castellnou de Bages;48
001B;Sant Joan de Vilatorrada y otros municipios;06LL;Bellver de Cerdanya y otros municipios;35
001B;Sant Joan de Vilatorrada y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);142
001B;Sant Joan de Vilatorrada y otros municipios;091B;Navarcles;29
001B;Sant Joan de Vilatorrada y otros municipios;106B;Sallent;70
001B;Sant Joan de Vilatorrada y otros municipios;107B;Santpedor;126
001B;Sant Joan de Vilatorrada y otros municipios;117B;Sant Fruitós de Bages;163
001B;Sant Joan de Vilatorrada y otros municipios;137B;Súria;114
001B;Sant Joan de Vilatorrada y otros municipios;253B;Manresa (distrito 02);273
001B;Sant Joan de Vilatorrada y otros municipios;254B;Manresa (distritos 01 y 03);137
001B;Sant Joan de Vilatorrada y otros municipios;255B;Manresa (distrito 04);292
001B;Sant Joan de Vilatorrada y otros municipios;256B;Manresa (distrito 05);284
001B;Sant Joan de Vilatorrada y otros municipios;OTRO;OTROS DESTINOS;1.104
001M;Fuentidueña de Tajo y otros municipios;001M;Fuentidueña de Tajo y otros municipios;3.283
001M;Fuentidueña de Tajo y otros municipios;002M;Perales de Tajuña y otros municipios;28
001M;Fuentidueña de Tajo y otros municipios;04CU;Barajas de Melo y otros municipios;68
001M;Fuentidueña de Tajo y otros municipios;080M;Villarejo de Salvanés;42
001M;Fuentidueña de Tajo y otros municipios;096M;Arganda del Rey;52
001M;Fuentidueña de Tajo y otros municipios;11GU;Mondéjar y otros municipios;81
001M;Fuentidueña de Tajo y otros municipios;24TO;Santa Cruz de la Zarza y Villatobas;24
001M;Fuentidueña de Tajo y otros municipios;26CU;Tarancón;44
001M;Fuentidueña de Tajo y otros municipios;OTRO;OTROS DESTINOS;479
001S;Real de la Jara, El y otros municipios;001S;Real de la Jara, El y otros municipios;4.692
001S;Real de la Jara, El y otros municipios;055S;Guillena;66
001S;Real de la Jara, El y otros municipios;10HU;Santa Olalla del Cala y otros municipios;35
001S;Real de la Jara, El y otros municipios;12HU;Minas de Riotinto y otros municipios;41
001S;Real de la Jara, El y otros municipios;22BA;Monesterio y Calera de León;33
001S;Real de la Jara, El y otros municipios;OTRO;OTROS DESTINOS;708
001V;Daimús y otros municipios;001V;Daimús y otros municipios;3.685
001V;Daimús y otros municipios;002V;Bellreguard y otros municipios;120
001V;Daimús y otros municipios;003V;Gandia (distritos 01 y 03);140
001V;Daimús y otros municipios;004V;Vilallonga/Villalonga y Ador;21
001V;Daimús y otros municipios;006V;Real de Gandía y otros municipios;28
001V;Daimús y otros municipios;037A;Dénia;101
001V;Daimús y otros municipios;043A;Jávea/Xàbia;37
001V;Daimús y otros municipios;049V;Oliva y otros municipios;106
001V;Daimús y otros municipios;093V;Gandia (distrito 04);194
001V;Daimús y otros municipios;127V;Cullera;52
001V;Daimús y otros municipios;142V;Gandia (distrito 02);97
001V;Daimús y otros municipios;OTRO;OTROS DESTINOS;476
002A;Formentera del Segura y otros municipios;002A;Formentera del Segura y otros municipios;5.902
002A;Formentera del Segura y otros municipios;023A;Almoradí;217
002A;Formentera del Segura y otros municipios;038A;Dolores;48
002A;Formentera del Segura y otros municipios;041A;Guardamar del Segura;178
002A;Formentera del Segura y otros municipios;058A;Rojales;597
002A;Formentera del Segura y otros municipios;059A;San Fulgencio;181
002A;Formentera del Segura y otros municipios;062A;Santa Pola;36
002A;Formentera del Segura y otros municipios;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);158
002A;Formentera del Segura y otros municipios;091A;Orihuela (distrito 05);40
002A;Formentera del Segura y otros municipios;097A;Torrevieja (distrito 01);57
002A;Formentera del Segura y otros municipios;098A;Torrevieja (distrito 02);64
002A;Formentera del Segura y otros municipios;099A;Torrevieja (distrito 03);64
002A;Formentera del Segura y otros municipios;OTRO;OTROS DESTINOS;713
002B;Òdena y otros municipios;002B;Òdena y otros municipios;2.512
002B;Òdena y otros municipios;003B;Torre de Claramunt, La y Pobla de Claramunt, La;62
002B;Òdena y otros municipios;009B;Hostalets de Pierola, Els y Bruc, El;17
002B;Òdena y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;94
002B;Òdena y otros municipios;03LL;Pont de Suert, El y otros municipios;22
002B;Òdena y otros municipios;046B;Abrera;17
002B;Òdena y otros municipios;04LL;Naut Aran y otros municipios;20
002B;Òdena y otros municipios;05LL;Sort y otros municipios;32
002B;Òdena y otros municipios;068B;Esparreguera;21
002B;Òdena y otros municipios;06LL;Bellver de Cerdanya y otros municipios;55
002B;Òdena y otros municipios;074B;Igualada;462
002B;Òdena y otros municipios;081B;Martorell;20
002B;Òdena y otros municipios;098B;Piera;34
002B;Òdena y otros municipios;10LL;Artesa de Segre y otros municipios;20
002B;Òdena y otros municipios;129B;Santa Margarida de Montbui;98
002B;Òdena y otros municipios;145B;Vilanova del Camí;103
002B;Òdena y otros municipios;22TA;Santa Coloma de Queralt y otros municipios;25
002B;Òdena y otros municipios;OTRO;OTROS DESTINOS;1.194
002M;Perales de Tajuña y otros municipios;001M;Fuentidueña de Tajo y otros municipios;28
002M;Perales de Tajuña y otros municipios;002M;Perales de Tajuña y otros municipios;4.259
002M;Perales de Tajuña y otros municipios;003M;Valdilecha y otros municipios;59
002M;Perales de Tajuña y otros municipios;018M;Chinchón y otros municipios;27
002M;Perales de Tajuña y otros municipios;038M;Colmenar de Oreja;26
002M;Perales de Tajuña y otros municipios;058M;Morata de Tajuña;23
002M;Perales de Tajuña y otros municipios;080M;Villarejo de Salvanés;97
002M;Perales de Tajuña y otros municipios;096M;Arganda del Rey;225
002M;Perales de Tajuña y otros municipios;133M;Rivas-Vaciamadrid (sección 029 y otras secciones del distrito 01);63
002M;Perales de Tajuña y otros municipios;OTRO;OTROS DESTINOS;1.544
002S;Cazalla de la Sierra y Pedroso, El;001S;Real de la Jara, El y otros municipios;21
002S;Cazalla de la Sierra y Pedroso, El;002S;Cazalla de la Sierra y Pedroso, El;4.970
002S;Cazalla de la Sierra y Pedroso, El;003S;Guadalcanal y otros municipios;109
002S;Cazalla de la Sierra y Pedroso, El;005S;Constantina y Navas de la Concepción, Las;107
002S;Cazalla de la Sierra y Pedroso, El;OTRO;OTROS DESTINOS;374
002V;Bellreguard y otros municipios;001V;Daimús y otros municipios;426
002V;Bellreguard y otros municipios;002V;Bellreguard y otros municipios;4.467
002V;Bellreguard y otros municipios;003V;Gandia (distritos 01 y 03);176
002V;Bellreguard y otros municipios;005V;Font d'En Carròs, la y otros municipios;38
002V;Bellreguard y otros municipios;006V;Real de Gandía y otros municipios;59
002V;Bellreguard y otros municipios;016A;Verger, el y Poblets, els;19
002V;Bellreguard y otros municipios;037A;Dénia;124
002V;Bellreguard y otros municipios;043A;Jávea/Xàbia;43
002V;Bellreguard y otros municipios;049V;Oliva y otros municipios;418
002V;Bellreguard y otros municipios;051V;Gandia (distrito 07) y Benirredrà;20
002V;Bellreguard y otros municipios;075V;Gandia (distrito 06);26
002V;Bellreguard y otros municipios;089V;Gandia (distrito 05);25
002V;Bellreguard y otros municipios;093V;Gandia (distrito 04);142
002V;Bellreguard y otros municipios;142V;Gandia (distrito 02);115
002V;Bellreguard y otros municipios;OTRO;OTROS DESTINOS;518
003A;Bigastro y Jacarilla;001A;Montesinos, Los y Algorfa;20
003A;Bigastro y Jacarilla;003A;Bigastro y Jacarilla;5.104
003A;Bigastro y Jacarilla;004A;Cox y otros municipios;20
003A;Bigastro y Jacarilla;021A;Orihuela (distrito 08) y Rafal;263
003A;Bigastro y Jacarilla;023A;Almoradí;20
003A;Bigastro y Jacarilla;027A;Benejúzar;65
003A;Bigastro y Jacarilla;031A;Callosa de Segura;20
003A;Bigastro y Jacarilla;034A;Catral;20
003A;Bigastro y Jacarilla;036A;Crevillent;20
003A;Bigastro y Jacarilla;03MU;Abanilla;81
003A;Bigastro y Jacarilla;041A;Guardamar del Segura;20
003A;Bigastro y Jacarilla;057A;Redován;48
003A;Bigastro y Jacarilla;058A;Rojales;20
003A;Bigastro y Jacarilla;060A;Sant Joan d'Alacant;20
003A;Bigastro y Jacarilla;061A;San Miguel de Salinas;20
003A;Bigastro y Jacarilla;062A;Santa Pola;20
003A;Bigastro y Jacarilla;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);20
003A;Bigastro y Jacarilla;087A;Orihuela (distrito 01);20
003A;Bigastro y Jacarilla;088A;Orihuela (distrito 02);39
003A;Bigastro y Jacarilla;089A;Orihuela (distrito 03);30
003A;Bigastro y Jacarilla;090A;Orihuela (distrito 04);20
003A;Bigastro y Jacarilla;091A;Orihuela (distrito 05);133
003A;Bigastro y Jacarilla;092A;Orihuela (distrito 06);149
003A;Bigastro y Jacarilla;093A;Orihuela (distrito 07);20
003A;Bigastro y Jacarilla;097A;Torrevieja (distrito 01);45
003A;Bigastro y Jacarilla;098A;Torrevieja (distrito 02);41
003A;Bigastro y Jacarilla;099A;Torrevieja (distrito 03);20
003A;Bigastro y Jacarilla;116A;Alicante (SCD Number 8-B);20
003A;Bigastro y Jacarilla;11MU;Beniel;20
003A;Bigastro y Jacarilla;53MU;Murcia (SCD Number 2-A);20
003A;Bigastro y Jacarilla;59MU;Murcia (SCD Number 4-C);20
003A;Bigastro y Jacarilla;64MU;Murcia (SCD Number 7-A);20
003A;Bigastro y Jacarilla;67MU;Molina de Segura (sección 051 y otras secciones del distrito 01);20
003A;Bigastro y Jacarilla;OTRO;OTROS DESTINOS;736
003B;Torre de Claramunt, La y Pobla de Claramunt, La;002B;Òdena y otros municipios;91
003B;Torre de Claramunt, La y Pobla de Claramunt, La;003B;Torre de Claramunt, La y Pobla de Claramunt, La;3.556
003B;Torre de Claramunt, La y Pobla de Claramunt, La;004B;Capellades y Vallbona d'Anoia;102
003B;Torre de Claramunt, La y Pobla de Claramunt, La;005B;Mediona y otros municipios;23
003B;Torre de Claramunt, La y Pobla de Claramunt, La;074B;Igualada;212
003B;Torre de Claramunt, La y Pobla de Claramunt, La;098B;Piera;28
003B;Torre de Claramunt, La y Pobla de Claramunt, La;129B;Santa Margarida de Montbui;25
003B;Torre de Claramunt, La y Pobla de Claramunt, La;145B;Vilanova del Camí;84
003B;Torre de Claramunt, La y Pobla de Claramunt, La;OTRO;OTROS DESTINOS;475
003M;Valdilecha y otros municipios;001M;Fuentidueña de Tajo y otros municipios;20
003M;Valdilecha y otros municipios;002M;Perales de Tajuña y otros municipios;51
003M;Valdilecha y otros municipios;003M;Valdilecha y otros municipios;4.833
003M;Valdilecha y otros municipios;004M;Anchuelo y otros municipios;95
003M;Valdilecha y otros municipios;035M;Campo Real;89
003M;Valdilecha y otros municipios;050M;Loeches;32
003M;Valdilecha y otros municipios;060M;Nuevo Baztán;186
003M;Valdilecha y otros municipios;096M;Arganda del Rey;151
003M;Valdilecha y otros municipios;133M;Rivas-Vaciamadrid (sección 029 y otras secciones del distrito 01);54
003M;Valdilecha y otros municipios;OTRO;OTROS DESTINOS;828
003S;Guadalcanal y otros municipios;002S;Cazalla de la Sierra y Pedroso, El;83
003S;Guadalcanal y otros municipios;003S;Guadalcanal y otros municipios;3.674
003S;Guadalcanal y otros municipios;005S;Constantina y Navas de la Concepción, Las;51
003S;Guadalcanal y otros municipios;23BA;Montemolín y otros municipios;45
003S;Guadalcanal y otros municipios;24BA;Azuaga y otros municipios;27
003S;Guadalcanal y otros municipios;OTRO;OTROS DESTINOS;217
003V;Gandia (distritos 01 y 03);001V;Daimús y otros municipios;281
003V;Gandia (distritos 01 y 03);002V;Bellreguard y otros municipios;99
003V;Gandia (distritos 01 y 03);003V;Gandia (distritos 01 y 03);4.991
003V;Gandia (distritos 01 y 03);004V;Vilallonga/Villalonga y Ador;33
003V;Gandia (distritos 01 y 03);006V;Real de Gandía y otros municipios;70
003V;Gandia (distritos 01 y 03);012V;Xeraco y Xeresa;28
003V;Gandia (distritos 01 y 03);037A;Dénia;31
003V;Gandia (distritos 01 y 03);042V;Rótova y otros municipios;21
003V;Gandia (distritos 01 y 03);049V;Oliva y otros municipios;123
003V;Gandia (distritos 01 y 03);051V;Gandia (distrito 07) y Benirredrà;42
003V;Gandia (distritos 01 y 03);075V;Gandia (distrito 06);77
003V;Gandia (distritos 01 y 03);089V;Gandia (distrito 05);57
003V;Gandia (distritos 01 y 03);093V;Gandia (distrito 04);254
003V;Gandia (distritos 01 y 03);107V;Tavernes de la Valldigna;22
003V;Gandia (distritos 01 y 03);142V;Gandia (distrito 02);340
003V;Gandia (distritos 01 y 03);OTRO;OTROS DESTINOS;341
004A;Cox y otros municipios;004A;Cox y otros municipios;7.006
004A;Cox y otros municipios;005A;Albatera y San Isidro;338
004A;Cox y otros municipios;021A;Orihuela (distrito 08) y Rafal;123
004A;Cox y otros municipios;031A;Callosa de Segura;290
004A;Cox y otros municipios;036A;Crevillent;105
004A;Cox y otros municipios;057A;Redován;83
004A;Cox y otros municipios;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);81
004A;Cox y otros municipios;093A;Orihuela (distrito 07);163
004A;Cox y otros municipios;OTRO;OTROS DESTINOS;1.209
004B;Capellades y Vallbona d'Anoia;003B;Torre de Claramunt, La y Pobla de Claramunt, La;183
004B;Capellades y Vallbona d'Anoia;004B;Capellades y Vallbona d'Anoia;4.157
004B;Capellades y Vallbona d'Anoia;005B;Mediona y otros municipios;33
004B;Capellades y Vallbona d'Anoia;074B;Igualada;106
004B;Capellades y Vallbona d'Anoia;098B;Piera;143
004B;Capellades y Vallbona d'Anoia;145B;Vilanova del Camí;36
004B;Capellades y Vallbona d'Anoia;OTRO;OTROS DESTINOS;678
004M;Anchuelo y otros municipios;003M;Valdilecha y otros municipios;75
004M;Anchuelo y otros municipios;004M;Anchuelo y otros municipios;3.551
004M;Anchuelo y otros municipios;050M;Loeches;22
004M;Anchuelo y otros municipios;060M;Nuevo Baztán;75
004M;Anchuelo y otros municipios;073M;Torres de la Alameda;24
004M;Anchuelo y otros municipios;077M;Villalbilla;93
004M;Anchuelo y otros municipios;083M;Alcalá de Henares (distrito 01);23
004M;Anchuelo y otros municipios;084M;Alcalá de Henares (distrito 02);35
004M;Anchuelo y otros municipios;085M;Alcalá de Henares (distrito 03);40
004M;Anchuelo y otros municipios;086M;Alcalá de Henares (distrito 04);23
004M;Anchuelo y otros municipios;087M;Alcalá de Henares (distrito 05) y Santos de la Humosa, Los;40
004M;Anchuelo y otros municipios;096M;Arganda del Rey;36
004M;Anchuelo y otros municipios;10GU;Pioz y Pozo de Guadalajara;56
004M;Anchuelo y otros municipios;11GU;Mondéjar y otros municipios;21
004M;Anchuelo y otros municipios;12GU;Loranca de Tajuña y otros municipios;58
004M;Anchuelo y otros municipios;278M;Madrid (SCD Rejas);17
004M;Anchuelo y otros municipios;OTRO;OTROS DESTINOS;670
004S;Peñaflor y Puebla de los Infantes, La;004S;Peñaflor y Puebla de los Infantes, La;4.657
004S;Peñaflor y Puebla de los Infantes, La;006S;Lora del Río y Alcolea del Río;122
004S;Peñaflor y Puebla de los Infantes, La;15CO;Posadas y Hornachuelos;29
004S;Peñaflor y Puebla de los Infantes, La;61CO;Palma del Río;256
004S;Peñaflor y Puebla de los Infantes, La;OTRO;OTROS DESTINOS;350
004V;Vilallonga/Villalonga y Ador;001V;Daimús y otros municipios;75
004V;Vilallonga/Villalonga y Ador;002V;Bellreguard y otros municipios;30
004V;Vilallonga/Villalonga y Ador;003V;Gandia (distritos 01 y 03);86
004V;Vilallonga/Villalonga y Ador;004V;Vilallonga/Villalonga y Ador;3.593
004V;Vilallonga/Villalonga y Ador;005V;Font d'En Carròs, la y otros municipios;131
004V;Vilallonga/Villalonga y Ador;006V;Real de Gandía y otros municipios;124
004V;Vilallonga/Villalonga y Ador;037A;Dénia;41
004V;Vilallonga/Villalonga y Ador;042V;Rótova y otros municipios;42
004V;Vilallonga/Villalonga y Ador;049V;Oliva y otros municipios;125
004V;Vilallonga/Villalonga y Ador;093V;Gandia (distrito 04);52
004V;Vilallonga/Villalonga y Ador;142V;Gandia (distrito 02);83
004V;Vilallonga/Villalonga y Ador;OTRO;OTROS DESTINOS;332
005A;Albatera y San Isidro;004A;Cox y otros municipios;303
005A;Albatera y San Isidro;005A;Albatera y San Isidro;8.357
005A;Albatera y San Isidro;021A;Orihuela (distrito 08) y Rafal;86
005A;Albatera y San Isidro;023A;Almoradí;59
005A;Albatera y San Isidro;031A;Callosa de Segura;115
005A;Albatera y San Isidro;034A;Catral;78
005A;Albatera y San Isidro;036A;Crevillent;377
005A;Albatera y San Isidro;041A;Guardamar del Segura;36
005A;Albatera y San Isidro;057A;Redován;93
005A;Albatera y San Isidro;058A;Rojales;32
005A;Albatera y San Isidro;062A;Santa Pola;34
005A;Albatera y San Isidro;077A;Elche/Elx (distrito 01);31
005A;Albatera y San Isidro;078A;Elche/Elx (distrito 02);31
005A;Albatera y San Isidro;079A;Elche/Elx (distrito 03);37
005A;Albatera y San Isidro;080A;Elche/Elx (distrito 04);29
005A;Albatera y San Isidro;081A;Elche/Elx (distrito 05);26
005A;Albatera y San Isidro;082A;Elche/Elx (secciones 001 a 022 del distrito 06);26
005A;Albatera y San Isidro;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);239
005A;Albatera y San Isidro;091A;Orihuela (distrito 05);26
005A;Albatera y San Isidro;093A;Orihuela (distrito 07);120
005A;Albatera y San Isidro;097A;Torrevieja (distrito 01);39
005A;Albatera y San Isidro;099A;Torrevieja (distrito 03);37
005A;Albatera y San Isidro;116A;Alicante (SCD Number 8-B);32
005A;Albatera y San Isidro;OTRO;OTROS DESTINOS;1.196
005B;Mediona y otros municipios;002B;Òdena y otros municipios;24
005B;Mediona y otros municipios;003B;Torre de Claramunt, La y Pobla de Claramunt, La;27
005B;Mediona y otros municipios;005B;Mediona y otros municipios;3.585
005B;Mediona y otros municipios;023B;Sant Pere de Riudebitlles y otros municipios;114
005B;Mediona y otros municipios;024B;Font-rubí y otros municipios;29
005B;Mediona y otros municipios;098B;Piera;84
005B;Mediona y otros municipios;126B;Sant Sadurní d'Anoia;56
005B;Mediona y otros municipios;146B;Vilafranca del Penedès;104
005B;Mediona y otros municipios;OTRO;OTROS DESTINOS;739
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;3.597
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;007M;Buitrago del Lozoya y otros municipios;198
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;019M;Cabrera, La y otros municipios;65
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;022M;Torrelaguna y Redueña;33
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;023M;Talamanca de Jarama y otros municipios;16
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;06GU;Humanes y otros municipios;43
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;15SG;Boceguillas y otros municipios;26
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;16GU;Casar, El y Uceda;53
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;OTRO;OTROS DESTINOS;611
005S;Constantina y Navas de la Concepción, Las;002S;Cazalla de la Sierra y Pedroso, El;131
005S;Constantina y Navas de la Concepción, Las;003S;Guadalcanal y otros municipios;58
005S;Constantina y Navas de la Concepción, Las;005S;Constantina y Navas de la Concepción, Las;5.604
005S;Constantina y Navas de la Concepción, Las;006S;Lora del Río y Alcolea del Río;21
005S;Constantina y Navas de la Concepción, Las;OTRO;OTROS DESTINOS;414
005V;Font d'En Carròs, la y otros municipios;001V;Daimús y otros municipios;52
005V;Font d'En Carròs, la y otros municipios;002V;Bellreguard y otros municipios;66
005V;Font d'En Carròs, la y otros municipios;003V;Gandia (distritos 01 y 03);103
005V;Font d'En Carròs, la y otros municipios;004V;Vilallonga/Villalonga y Ador;155
005V;Font d'En Carròs, la y otros municipios;005V;Font d'En Carròs, la y otros municipios;2.981
005V;Font d'En Carròs, la y otros municipios;006V;Real de Gandía y otros municipios;141
005V;Font d'En Carròs, la y otros municipios;049V;Oliva y otros municipios;211
005V;Font d'En Carròs, la y otros municipios;093V;Gandia (distrito 04);50
005V;Font d'En Carròs, la y otros municipios;142V;Gandia (distrito 02);88
005V;Font d'En Carròs, la y otros municipios;OTRO;OTROS DESTINOS;485
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;5.242
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;025A;Aspe;176
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;03MU;Abanilla;75
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;048A;Novelda;97
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;055A;Pinós, el/Pinoso;30
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);125
006A;Fondó de les Neus, el/Hondón de las Nieves y otros municipios;OTRO;OTROS DESTINOS;579
006B;Subirats y Olesa de Bonesvalls;006B;Subirats y Olesa de Bonesvalls;2.904
006B;Subirats y Olesa de Bonesvalls;014B;Canyelles y Olivella;27
006B;Subirats y Olesa de Bonesvalls;020B;Granada, La y otros municipios;80
006B;Subirats y Olesa de Bonesvalls;021B;Olèrdola y Castellet i la Gornal;22
006B;Subirats y Olesa de Bonesvalls;023B;Sant Pere de Riudebitlles y otros municipios;30
006B;Subirats y Olesa de Bonesvalls;024B;Font-rubí y otros municipios;19
006B;Subirats y Olesa de Bonesvalls;126B;Sant Sadurní d'Anoia;119
006B;Subirats y Olesa de Bonesvalls;143B;Vallirana;35
006B;Subirats y Olesa de Bonesvalls;146B;Vilafranca del Penedès;103
006B;Subirats y Olesa de Bonesvalls;OTRO;OTROS DESTINOS;630
006S;Lora del Río y Alcolea del Río;004S;Peñaflor y Puebla de los Infantes, La;93
006S;Lora del Río y Alcolea del Río;005S;Constantina y Navas de la Concepción, Las;35
006S;Lora del Río y Alcolea del Río;006S;Lora del Río y Alcolea del Río;15.570
006S;Lora del Río y Alcolea del Río;024S;Alcalá de Guadaíra (distrito 04);54
006S;Lora del Río y Alcolea del Río;037S;Campana, La;121
006S;Lora del Río y Alcolea del Río;038S;Cantillana;22
006S;Lora del Río y Alcolea del Río;039S;Carmona;331
006S;Lora del Río y Alcolea del Río;048S;Dos Hermanas (distrito 05);40
006S;Lora del Río y Alcolea del Río;069S;Rinconada, La;61
006S;Lora del Río y Alcolea del Río;075S;Sevilla (SCD Number 1-A);28
006S;Lora del Río y Alcolea del Río;078S;Sevilla (SCD Number 2-A);31
006S;Lora del Río y Alcolea del Río;083S;Sevilla (SCD Number 3-B);27
006S;Lora del Río y Alcolea del Río;093S;Sevilla (SCD Number 5-E);22
006S;Lora del Río y Alcolea del Río;111S;Sevilla (SCD Number 10-B);24
006S;Lora del Río y Alcolea del Río;113S;Tocina;52
006S;Lora del Río y Alcolea del Río;119S;Villanueva del Río y Minas;92
006S;Lora del Río y Alcolea del Río;20HU;Almonte;24
006S;Lora del Río y Alcolea del Río;61CO;Palma del Río;70
006S;Lora del Río y Alcolea del Río;OTRO;OTROS DESTINOS;999
006V;Real de Gandía y otros municipios;001V;Daimús y otros municipios;120
006V;Real de Gandía y otros municipios;002V;Bellreguard y otros municipios;99
006V;Real de Gandía y otros municipios;003V;Gandia (distritos 01 y 03);316
006V;Real de Gandía y otros municipios;004V;Vilallonga/Villalonga y Ador;140
006V;Real de Gandía y otros municipios;005V;Font d'En Carròs, la y otros municipios;154
006V;Real de Gandía y otros municipios;006V;Real de Gandía y otros municipios;4.434
006V;Real de Gandía y otros municipios;037A;Dénia;34
006V;Real de Gandía y otros municipios;042V;Rótova y otros municipios;74
006V;Real de Gandía y otros municipios;049V;Oliva y otros municipios;179
006V;Real de Gandía y otros municipios;051V;Gandia (distrito 07) y Benirredrà;72
006V;Real de Gandía y otros municipios;075V;Gandia (distrito 06);100
006V;Real de Gandía y otros municipios;089V;Gandia (distrito 05);74
006V;Real de Gandía y otros municipios;093V;Gandia (distrito 04);139
006V;Real de Gandía y otros municipios;142V;Gandia (distrito 02);227
006V;Real de Gandía y otros municipios;OTRO;OTROS DESTINOS;510
007A;Sax y Salinas;007A;Sax y Salinas;7.796
007A;Sax y Salinas;008A;Elda (distritos 02 y 03);149
007A;Sax y Salinas;032A;Campello, el;23
007A;Sax y Salinas;046A;Monóvar/Monòver;27
007A;Sax y Salinas;054A;Petrer;260
007A;Sax y Salinas;062A;Santa Pola;22
007A;Sax y Salinas;064A;Villena;157
007A;Sax y Salinas;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);65
007A;Sax y Salinas;085A;Elda (distrito 04);28
007A;Sax y Salinas;086A;Elda (distrito 05);46
007A;Sax y Salinas;116A;Alicante (SCD Number 8-B);23
007A;Sax y Salinas;OTRO;OTROS DESTINOS;708
007B;Castellbell i el Vilar y otros municipios;007B;Castellbell i el Vilar y otros municipios;3.803
007B;Castellbell i el Vilar y otros municipios;008B;Sant Vicenç de Castellet y otros municipios;175
007B;Castellbell i el Vilar y otros municipios;068B;Esparreguera;21
007B;Castellbell i el Vilar y otros municipios;06LL;Bellver de Cerdanya y otros municipios;31
007B;Castellbell i el Vilar y otros municipios;142B;Vacarisses;193
007B;Castellbell i el Vilar y otros municipios;253B;Manresa (distrito 02);29
007B;Castellbell i el Vilar y otros municipios;255B;Manresa (distrito 04);26
007B;Castellbell i el Vilar y otros municipios;256B;Manresa (distrito 05);40
007B;Castellbell i el Vilar y otros municipios;304B;Terrassa (distrito 03 y secciones 001 a 004 del distrito 07);21
007B;Castellbell i el Vilar y otros municipios;OTRO;OTROS DESTINOS;1.148
007M;Buitrago del Lozoya y otros municipios;005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;164
007M;Buitrago del Lozoya y otros municipios;007M;Buitrago del Lozoya y otros municipios;5.309
007M;Buitrago del Lozoya y otros municipios;019M;Cabrera, La y otros municipios;40
007M;Buitrago del Lozoya y otros municipios;020M;Miraflores de la Sierra y Bustarviejo;20
007M;Buitrago del Lozoya y otros municipios;06GU;Humanes y otros municipios;21
007M;Buitrago del Lozoya y otros municipios;15SG;Boceguillas y otros municipios;30
007M;Buitrago del Lozoya y otros municipios;OTRO;OTROS DESTINOS;627
007S;Luisiana, La y Cañada Rosal;007S;Luisiana, La y Cañada Rosal;5.400
